est,lo,hi,L1,L2,L2a,L2b,L3,n_eff,n,delta
0.5014918951223521,0.20485194062421413,0.8363331615834634,True,False,False,True,True,7183,36798,0.3
0.3991062917887753,0.08737306952736253,0.7826822261147042,True,False,False,True,True,6887,38584,0.3
0.25196540658541905,0.016291423557795174,0.5263966049927519,True,False,False,True,True,7616,36772,0.3
0.2711989662860789,-0.05508618035991841,0.6581349845746352,False,False,False,False,True,6496,38883,0.3
0.3061617719667173,0.004341010481048199,0.6205153116290156,True,False,False,True,True,6983,37628,0.3
0.23254278675902657,-0.10846277773269464,0.6157164996398344,True,False,False,False,True,6654,39980,0.3
0.2086291469895471,-0.1409874271118491,0.560713567774192,True,False,False,False,True,6922,37896,0.3
0.23447098838161845,-0.12695994759922752,0.5836051678486079,False,False,False,False,True,6830,38961,0.3
0.2870763603537105,-0.12278919819808748,0.6232638786490228,True,False,False,False,True,6061,38617,0.3
0.32043074428834667,-0.03579127409734817,0.6382501838030307,True,False,False,False,True,7250,38214,0.3
0.2171735939855532,-0.10588105753256194,0.5184519424064503,True,False,False,False,True,6797,38531,0.3
0.42741921262704463,0.07407743776338878,0.7981836363560079,True,False,False,True,True,6215,39047,0.3
0.16406560413347843,-0.1772712730666942,0.48455032736140313,True,False,False,False,True,6856,38491,0.3
0.08680635372657036,-0.22936505738227586,0.4179410779511998,False,False,False,False,True,6887,39206,0.3
0.2953034874549118,-0.01081526287180056,0.6393014039775788,True,False,False,False,True,7284,40124,0.3
0.29523161942669435,-0.031245249360850044,0.6125646598151921,True,False,False,False,True,6992,37291,0.3
0.46587939352463725,0.17361948472807337,0.8012333440963908,True,False,False,True,True,6454,38753,0.3
0.317283178424643,-0.0038246450784532007,0.6656671967811509,True,False,False,False,True,7175,37977,0.3
0.05732204109410416,-0.35186686040430515,0.36516126083922557,True,False,False,False,True,6490,38528,0.3
0.1213488164359175,-0.17982092928762045,0.42105667357380633,True,False,False,False,True,6014,38288,0.3
0.4358944255492434,0.058159886257394,0.8508845683369313,True,False,False,True,True,7157,38759,0.3
0.1213488164359175,-0.2953326141930365,0.4137069233728717,False,False,False,False,True,6631,39105,0.3
0.38125710339537133,0.01488503452189846,0.7127388693864234,True,False,False,True,True,6836,37538,0.3
0.20615746533882956,-0.133754655941474,0.5332518458372141,True,False,False,False,True,6345,39880,0.3
0.2476812923908553,-0.05974556208182408,0.6447013940782259,True,False,False,False,True,6291,38946,0.3
0.5387455479915702,0.20329721308439824,0.8499050594282984,True,False,False,True,True,7268,38730,0.3
0.3734193961982488,0.05080942787603265,0.6634691589212647,True,False,False,True,True,7370,38193,0.3
0.38646439500897833,0.08235539280747467,0.7523555570157703,True,False,False,True,True,6143,38404,0.3
0.2979826796708382,0.01705670705829832,0.6063574416762327,True,False,False,True,True,6921,38733,0.3
0.5331257904982787,0.19861761917690707,0.830061648182736,True,False,False,True,True,7291,36878,0.3
0.3297907132571718,0.041234829055586404,0.7102134423829479,True,False,False,True,True,7098,37447,0.3
0.352821792884461,0.04005114791614227,0.6597597289508847,True,False,False,True,True,6007,39149,0.3
0.07708144149124435,-0.2876376746864237,0.37350231896601094,False,False,False,False,True,7483,36293,0.3
0.18391398849012502,-0.2210894793296822,0.4951980036381979,True,False,False,False,True,6340,38879,0.3
0.15905135118335884,-0.21389612910201666,0.5574446444328517,True,False,False,False,True,6575,39144,0.3
0.43082657272218694,0.14933271711499635,0.7295420130125355,True,False,False,True,True,7077,37251,0.3
0.1213488164359175,-0.2850411322894106,0.47505580009858805,False,False,False,False,True,5541,38705,0.3
0.18292373145564172,-0.12463856737515293,0.5090245932858959,True,False,False,False,True,6761,38388,0.3
0.19298682463553235,-0.14392601784190995,0.5411720393417562,True,False,False,False,True,6994,37922,0.3
0.30195588726809025,-0.055488349373375434,0.6641888919469977,True,False,False,False,True,6594,38696,0.3
0.3775516211824146,0.09249675846842528,0.6683246961212517,True,False,False,True,True,6225,37347,0.3
0.4788251089226645,0.13755587084776874,0.8077327466064198,True,False,False,True,True,6737,37766,0.3
0.24518782572385794,-0.03230554201655492,0.5763475816931122,True,False,False,False,True,6962,36537,0.3
0.2526398448822961,-0.055859001683779545,0.5523055119953878,True,False,False,False,True,6951,36767,0.3
0.35502579679612656,0.020205094592822007,0.6821069846966892,True,False,False,True,True,6739,39084,0.3
0.18237331803164752,-0.21425279492113675,0.5004069245647313,False,False,False,False,True,6528,37768,0.3
0.2922078962134031,-0.0462769748856312,0.6001099388798401,True,False,False,False,True,7026,38066,0.3
0.17267034581750468,-0.16220711753129638,0.516842316093735,True,False,False,False,True,6721,40033,0.3
0.3250839607483178,-0.02681516447449322,0.6591740025418711,True,False,False,False,True,6391,40129,0.3
0.16055843271380849,-0.2097015217851586,0.45798134220337944,True,False,False,False,True,6719,38630,0.3
0.030064037843346714,-0.30760124221576757,0.3766920943670913,False,False,False,False,True,6872,37638,0.3
0.37490696160433745,0.03136376428014232,0.7204393806914958,True,False,False,True,True,7163,37396,0.3
0.23251139170222784,-0.11600306915596574,0.4942382099413076,True,False,False,False,True,6058,36875,0.3
0.36398313186053444,0.09245765198355876,0.7384708196360619,True,False,False,True,True,6781,39123,0.3
0.17238658438419846,-0.13555100128678554,0.45525870249621825,True,False,False,False,True,6956,37499,0.3
0.35933072981048064,0.05343613730836472,0.7375250637483293,True,False,False,True,True,6750,38761,0.3
0.3503127546156668,-0.02854449532459418,0.666636092201559,True,False,False,False,True,6790,37899,0.3
