ticker,n,base,std,ovs,mid,cross,green3,panic3,gapsoft,z11,wtop,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,cluster
LYFT,8867,-0.701,9.609,-0.496,-0.557,-1.586,-0.427,-0.785,-1.171,-0.668,-6.393,0.204,0.144,-0.886,0.274,-0.084,-0.47,0.033,1
LYV,8867,0.475,4.707,0.278,0.421,0.398,0.269,0.253,0.405,0.166,-2.485,-0.197,-0.054,-0.077,-0.206,-0.222,-0.07,-0.309,0
LZ,8521,-0.336,8.263,0.392,0.0,-0.612,-0.377,0.117,-1.112,0.256,-1.57,0.728,0.336,-0.276,-0.041,0.453,-0.776,0.592,1
LZB,8510,-0.307,4.879,0.567,-0.228,-0.199,-0.611,0.872,-0.614,-0.458,-3.043,0.874,0.079,0.109,-0.303,1.18,-0.306,-0.151,1
M,8867,0.0,7.251,0.688,-0.129,0.0,0.229,0.477,0.0,-0.71,-1.209,0.688,-0.129,0.0,0.229,0.477,0.0,-0.71,0
MA,8867,0.385,3.29,0.699,0.594,0.429,0.125,0.697,0.17,-0.114,-0.019,0.314,0.209,0.044,-0.26,0.312,-0.215,-0.499,0
MAA,8867,-0.037,3.023,0.142,-0.242,0.129,0.03,-0.149,0.375,-0.0,-1.053,0.179,-0.205,0.166,0.067,-0.112,0.412,0.037,0
MAC,8867,0.35,5.735,0.603,0.797,0.079,0.141,1.308,-0.781,0.478,-3.647,0.253,0.448,-0.27,-0.209,0.958,-1.131,0.129,1
MAIN,8858,0.386,2.993,0.415,0.314,0.483,0.511,0.072,0.28,0.284,-0.921,0.029,-0.072,0.097,0.125,-0.314,-0.107,-0.102,0
MAN,8857,-0.13,5.424,0.601,0.128,0.042,-0.561,-0.213,0.239,0.251,-2.374,0.731,0.258,0.171,-0.431,-0.083,0.369,0.381,0
MANH,8866,0.255,5.463,0.746,-0.183,0.294,0.229,0.185,0.996,-0.289,-1.174,0.49,-0.439,0.039,-0.026,-0.071,0.74,-0.544,0
MANU,6321,0.0,7.671,0.815,0.24,-0.054,-0.213,-0.229,-2.092,-0.078,-2.597,0.815,0.24,-0.054,-0.213,-0.229,-2.092,-0.078,1
MAR,8867,0.558,4.045,0.826,0.669,0.409,0.387,0.781,0.855,0.107,-1.777,0.268,0.112,-0.149,-0.171,0.223,0.297,-0.451,0
MARA,8745,-0.898,15.06,-2.669,-0.969,-0.181,0.551,-1.481,-2.051,-3.819,-7.437,-1.771,-0.071,0.717,1.449,-0.583,-1.153,-2.921,3
MAS,8867,-0.114,4.204,0.074,-0.434,0.194,-0.318,0.397,-0.547,0.374,-2.84,0.188,-0.32,0.308,-0.205,0.51,-0.433,0.488,0
MASI,8643,0.007,6.049,-0.117,0.079,-0.037,0.02,-0.052,-0.292,0.675,0.722,-0.123,0.072,-0.044,0.013,-0.059,-0.299,0.669,0
MAT,8867,-0.103,5.06,0.682,-0.057,-0.235,-0.245,0.563,0.572,0.465,-0.636,0.785,0.046,-0.132,-0.142,0.666,0.675,0.568,0
MATV,4163,-0.739,10.362,0.533,-1.038,-1.394,-0.85,0.414,0.14,-3.198,-6.215,1.272,-0.299,-0.656,-0.111,1.153,0.879,-2.46,1
MATW,3557,-0.666,7.482,-0.435,-0.235,-0.613,-1.613,0.626,1.048,-0.686,-3.521,0.231,0.431,0.053,-0.947,1.292,1.714,-0.02,1
MATX,8848,0.625,5.447,1.137,0.796,0.341,0.675,0.984,1.363,-0.057,-2.477,0.513,0.171,-0.284,0.05,0.359,0.739,-0.682,0
MAX,4058,-0.801,14.951,-3.053,-0.852,0.367,-0.427,-2.652,0.564,-2.397,-7.093,-2.252,-0.052,1.167,0.373,-1.852,1.365,-1.597,3
MBC,6037,0.161,6.677,0.155,0.133,0.24,0.168,0.499,0.867,0.942,-2.485,-0.006,-0.028,0.079,0.007,0.339,0.706,0.782,0
