dp,arr,arr_lo,arr_hi,rr,rr_lo,n_events,n_dates,R1,R2,R3,R4,R6,EST,verdict
2.0,2.844555748847605,0.7684358599246119,4.947537753953439,1.0839729694323477,1.0219013686583311,41926,520,True,False,True,True,False,True,False
2.0,1.3838841961475723,-0.7893128291254955,3.811141087073094,1.0401633005186046,0.9775765457596338,41721,520,True,False,False,True,True,False,False
2.0,1.175860756708541,-1.0106287279732098,3.2771459045201334,1.0340387345401458,0.9710710566943707,42125,520,False,False,False,True,True,False,False
2.0,0.6380896475607523,-1.6496826956465493,2.636580534163226,1.0183611198059481,0.954564752830406,40839,520,False,False,False,True,True,False,False
2.0,3.1556541587483053,0.9033837856522401,5.4071747492332065,1.0935055437855041,1.025797751843901,42451,520,True,False,True,True,True,True,False
2.0,1.8338965550942221,-0.2306515936360405,4.078033100126932,1.0535046195349749,0.9934070785224339,42231,520,True,False,False,True,True,False,False
2.0,1.9276609958660595,-0.06677053209454868,3.9911814171249715,1.0563021986251668,0.9981329624419311,42528,520,False,False,False,True,False,False,False
2.0,3.110107252290184,1.1502090017384208,5.417954837222725,1.0921046218624417,1.0337923887360354,42338,520,True,False,True,True,True,True,False
2.0,0.8672983178598326,-1.3499285636331353,2.995865547911265,1.0250314386619872,0.9621688107129672,39861,520,False,False,False,True,True,False,False
2.0,0.5213399339787317,-1.2697558423533049,2.7880980105455415,1.0149757984126917,0.9647700764868367,41690,520,False,False,False,True,True,False,False
2.0,1.5128779940215442,-0.6633806110532314,3.500827586925294,1.0439765626703414,0.9812908340850368,41223,520,True,False,False,True,True,False,False
2.0,3.414581399598482,1.3527302282790994,5.500493993837986,1.1014623589403791,1.039135474660507,41995,520,True,False,True,True,False,True,False
2.0,0.216239487250236,-1.8318705002109879,2.4917699281224923,1.0061929592173522,0.9496637822083438,40334,520,False,False,False,True,True,False,False
2.0,0.6171643824205597,-1.519362815047251,2.627423297292738,1.0177562932400228,0.9581767080614705,40585,520,False,False,False,True,True,False,False
2.0,2.3580414401907444,0.12368758420765738,4.19945829776274,1.0692247932615042,1.0034944912733614,42571,520,True,False,True,True,True,True,False
2.0,1.8533333090388182,-0.5035233716949999,4.029239331188993,1.054086252167645,0.9856841096788175,41306,520,True,False,False,True,True,False,False
2.0,1.2065675123564212,-0.7487035025953499,3.4092380200498575,1.0349503430316265,0.9791654142150003,40851,520,False,False,False,True,True,False,False
2.0,2.883637735320338,0.4300299862709616,4.8546926498499685,1.0851995240917938,1.0123016011880226,43543,520,True,False,True,True,True,True,False
2.0,1.857629850453818,-0.3832471110088929,3.8907827372533172,1.0542135025786286,0.9888939882022646,41708,520,True,False,False,True,True,False,False
2.0,0.3900187480953665,-1.6454992974275877,2.302994854363305,1.011192467450773,0.9539325745502428,40367,520,False,False,False,True,True,False,False
2.0,2.5405855596375817,0.6140961638782112,4.438517540821006,1.0747478065480147,1.017617757274427,42865,520,False,False,True,True,False,True,False
2.0,2.209154587310552,0.11981924376593485,4.467694155392738,1.0647380811393716,1.0034388629066302,41973,520,True,False,True,True,True,True,False
2.0,0.5044819765445518,-1.656589335740628,2.477404853798128,1.0144877114989574,0.9535810420213866,41841,520,False,False,False,True,True,False,False
2.0,0.3312375521015043,-1.8881970815372244,2.55485290159139,1.0094979972690048,0.9478326520448928,40614,520,False,False,False,True,True,False,False
4.0,3.171202968809678,1.1122154667576098,5.287110348649797,1.0918120136092364,1.0310579610642077,43643,520,True,False,True,True,True,True,False
4.0,5.509348159940114,3.4901567731592102,7.618881856250288,1.1638651023326685,1.1004013369697363,43973,520,True,False,True,True,False,True,False
