delta,planted,rep,band,theta_hat,truth,known_location_accept,planted_rank,rank_le_3,rank_le_5,search_promoted,final_accept,rank_of_max_true,regret,selected,n_promoted
1.5,sig_rs_intact+sig_conso,2,0.38900936802916225,1.497484958502749,1.5,True,1,True,True,True,True,1,0.0,sig_rs_intact+sig_conso,5
1.5,rsi35-50&conso,3,0.32790356626365597,1.4765548802376154,1.4999999999999996,True,1,True,True,True,True,1,0.0,rsi35-50&conso,5
1.5,sig_rs_intact,1,0.5586751554597192,1.5553712141363274,1.4999999999999998,True,1,True,True,True,True,1,0.0,sig_rs_intact,5
1.5,sig_lead_in_lag,1,0.46137113198449914,1.6179079098482831,1.5,True,1,True,True,True,True,1,0.0,sig_lead_in_lag,5
1.5,adx3&rs,2,0.2981942393300356,1.4115223150998788,1.5000000000000002,True,1,True,True,True,True,1,0.0,adx3&rs,5
1.5,rsi>=65,1,0.3723184175108126,1.6235471360382783,1.4999999999999998,True,1,True,True,True,True,1,0.0,rsi>=65,3
1.5,sig_rs_intact,4,0.43759297043589207,1.51051204437341,1.5000000000000002,True,1,True,True,True,True,1,0.0,sig_rs_intact,5
1.5,adx2&rs,3,0.41602473931701395,1.6353567793268107,1.5,True,1,True,True,True,True,1,0.0,adx2&rs,2
1.5,rsi50-65&conso,0,0.3865911341517887,1.4616701114996158,1.5,True,1,True,True,True,True,1,0.0,rsi50-65&conso,4
1.5,sig_conso+sig_lead_in_lag,2,0.2595181468755376,1.3951785061096424,1.5,True,1,True,True,True,True,1,0.0,sig_conso+sig_lead_in_lag,5
1.5,adx3,1,0.3564683458740156,1.4114549776296237,1.4999999999999998,True,1,True,True,True,True,1,0.0,adx3,4
1.5,sig_conso+sig_lead_in_lag+sig_h1_dr,4,0.5821318296796348,1.6220633177003145,1.4999999999999998,True,1,True,True,True,True,1,0.0,sig_conso+sig_lead_in_lag+sig_h1_dr,5
1.5,adx3,0,0.4021997271317472,1.4818698854415087,1.5,True,1,True,True,True,True,1,0.0,adx3,4
1.5,rsi<35,1,0.46768621950903033,1.5620561954372394,1.4999999999999996,True,1,True,True,True,True,1,0.0,rsi<35,3
1.5,sig_conso,0,0.3769548009175848,1.4760802916509839,1.5,True,1,True,True,True,True,1,0.0,sig_conso,5
1.5,adx-1,0,0.9393699128493129,1.3389017667351175,1.5,True,1,True,True,True,True,1,0.0,adx-1,1
1.5,adx2,2,0.360173266315674,1.4632825311273958,1.5,True,1,True,True,True,True,1,0.0,adx2,3
1.5,sig_conso+sig_lead_in_lag+sig_h1_dr,0,0.4654272009000501,1.5190285748336338,1.4999999999999998,True,1,True,True,True,True,1,0.0,sig_conso+sig_lead_in_lag+sig_h1_dr,5
1.5,rsi<35&conso,1,0.49533188297446923,1.7158379745503514,1.5,True,1,True,True,True,True,1,0.0,rsi<35&conso,3
