delta,seed,cell,truth,est,bias,lo,hi,width,covered,estimator,evidence,materiality,validity,final,blocking
0.0,4,sig_lead_in_lag+sig_h1_dr,0.0,0.08806356714209795,0.08806356714209795,-0.12468114337492497,0.29939449977502103,0.424075643149946,True,False,False,False,True,False,
0.0,4,sig_lead_in_lag+sig_macro_vix_up,0.0,-0.17657220541829605,-0.17657220541829605,-0.7925977590008104,0.3316654055429852,1.1242631645437955,True,False,False,False,True,False,EVIDENCE
0.0,4,sig_h1_dr+sig_macro_vix_up,0.0,-0.17978352493740762,-0.17978352493740762,-0.5907745804840434,0.20448182225508232,0.7952564027391258,True,False,False,False,True,False,EVIDENCE
0.0,4,sig_conso+sig_lead_in_lag+sig_h1_dr,0.0,0.03439850028751097,0.03439850028751097,-0.2149374923524989,0.24047973626009703,0.4554172286125959,True,False,False,False,True,False,
0.0,4,rsi<35,0.0,0.10570245972058376,0.10570245972058376,-0.06415063525533551,0.2930762601620254,0.35722689541736097,True,False,False,False,True,False,
0.0,4,rsi35-50,0.0,0.0021740779734473054,0.0021740779734473054,-0.12028516689918578,0.1160870201631419,0.23637218706232768,True,False,False,False,True,False,
0.0,4,rsi50-65,0.0,0.09206319383563222,0.09206319383563222,-0.018781468178518848,0.2002222303407889,0.21900369851930773,True,False,False,False,True,False,
0.0,4,rsi>=65,0.0,-0.1694421359074244,-0.1694421359074244,-0.3305150483948038,0.01859495383598998,0.34911000223079375,True,False,False,False,True,False,
0.0,4,adx-1,0.0,-0.47344215414035923,-0.47344215414035923,-1.065807333624837,0.316581456489409,1.382388790114246,True,False,False,False,True,False,EVIDENCE
0.0,4,adx0,0.0,-0.021799599047958713,-0.021799599047958713,-0.117004338669906,0.05537849367890096,0.17238283234880697,True,False,False,False,True,False,
0.0,4,adx1,0.0,-0.03936065460927065,-0.03936065460927065,-0.19727056352541772,0.09806991825401616,0.2953404817794339,True,False,False,False,True,False,
0.0,4,adx2,0.0,0.13319283308211832,0.13319283308211832,-0.029188356440544575,0.27283318001423046,0.30202153645477503,True,False,False,False,True,False,
0.0,4,adx3,0.0,0.02681963418107903,0.02681963418107903,-0.08831903610768892,0.14135488080884342,0.22967391691653233,True,False,False,False,True,False,
0.0,4,rsi<35&rs,0.0,-0.016413623857643965,-0.016413623857643965,-0.397654249639581,0.31448376510419335,0.7121380147437744,True,False,False,False,True,False,
0.0,4,rsi35-50&rs,0.0,0.09415735810590287,0.09415735810590287,-0.085061096484599,0.2775870940689003,0.3626481905534993,True,False,False,False,True,False,
0.0,4,rsi50-65&rs,0.0,0.11844588021812691,0.11844588021812691,-0.03910998276987054,0.2839156480809786,0.3230256308508491,True,False,False,False,True,False,
0.0,4,rsi<35&conso,0.0,0.03406821205868653,0.03406821205868653,-0.2489475239545732,0.2861034719405813,0.5350509958951545,True,False,False,False,True,False,
0.0,4,rsi35-50&conso,0.0,-0.011226654274594804,-0.011226654274594804,-0.1367510793750056,0.10768073119598559,0.2444318105709912,True,False,False,False,True,False,
0.0,4,rsi50-65&conso,0.0,0.09791399290911408,0.09791399290911408,-0.0362090203878512,0.20675044319598684,0.24295946358383805,True,False,False,False,True,False,
0.0,4,adx1&rs,0.0,0.044449234085760674,0.044449234085760674,-0.1342689487324068,0.21028828017642184,0.34455722890882867,True,False,False,False,True,False,
0.0,4,adx2&rs,0.0,0.16170699911021713,0.16170699911021713,-0.049959601480486886,0.345939522853347,0.3958991243338339,True,False,False,False,True,False,
0.0,4,adx3&rs,0.0,0.08250268118483856,0.08250268118483856,-0.08727570255180232,0.2235324380498822,0.31080814060168455,True,False,False,False,True,False,
0.6,0,sig_rs_intact,0.6,0.594210159073273,-0.0057898409267269635,0.43232775967527054,0.7279560451808736,0.2956282855056031,True,True,True,False,True,False,MATERIALITY
0.6,0,¬sig_rs_intact,0.6,0.5727972474716259,-0.02720275252837412,0.4027055732991957,0.7186151134873725,0.3159095401881768,True,True,True,False,True,False,MATERIALITY
