ticker,seg,base,std,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,wtop
FRT,🏦majority,0.187,4.308,0.959,0.129,-0.414,-0.213,0.503,-0.248,0.716,-1.599
FSLR,⚡panic,-0.185,11.022,1.06,-0.919,0.34,-1.266,2.76,-0.698,1.927,-5.765
FTNT,⚡panic,0.865,8.356,3.132,0.0,-1.018,-0.749,2.512,-0.762,0.836,-6.242
FTV,🏦majority,0.281,4.69,0.533,0.127,-0.022,-0.306,0.524,0.637,0.603,-1.852
GD,🏦majority,0.607,3.576,0.611,0.271,-0.223,-0.913,-0.176,-0.864,-0.643,-2.286
GDDY,🏦majority,0.319,6.457,-0.491,0.234,0.574,0.25,0.541,-0.413,0.993,-4.806
GE,🏦majority,1.579,6.196,-0.47,0.317,-0.923,-0.121,0.531,0.099,-1.814,-6.755
GEHC,🏦majority,0.267,6.072,0.344,0.33,-0.009,-1.556,0.142,-2.004,-0.345,-2.749
GEN,🏦majority,0.182,6.651,-1.03,1.025,0.868,0.199,-1.299,-0.184,3.452,-3.524
GILD,🏦majority,0.422,4.724,-0.466,0.554,-0.168,-0.169,0.044,-0.014,-1.199,-3.64
GIS,🏦majority,-0.368,4.027,-0.458,-0.121,-0.012,-0.192,-0.437,-1.138,-1.128,-3.72
GL,⚡panic,0.697,6.169,2.509,0.652,-0.303,-0.347,1.373,-0.102,0.359,-3.288
GLW,🏦majority,0.907,7.727,-0.076,-0.169,-0.477,0.488,-0.08,1.433,0.941,-7.33
GM,🏦majority,0.233,7.196,0.5,0.339,-1.144,-0.824,0.527,-1.578,1.18,-7.148
GNRC,🏦majority,-0.33,10.795,-0.492,-0.708,1.417,0.547,-1.443,-0.479,0.277,-4.331
GOLD,🏦majority,0.122,9.56,0.476,0.329,1.573,-0.459,-0.122,-0.463,1.566,-1.728
GOOG,🏦majority,0.903,5.915,-0.47,-0.052,1.079,-0.298,-0.264,1.29,-0.105,-3.376
