cell,setup,n_cell,n_ctl,dates_cell,dates_ctl,top_date_share_cell,top_date_share_ctl
¬sig_lead_in_lag,Z11-T11,307,28,156,18,0.08469055374592833,0.21428571428571427
¬sig_lead_in_lag,ZRT,1947,222,629,139,0.02465331278890601,0.05855855855855856
¬sig_lead_in_lag,ZRT🟢,9,3,8,3,0.2222222222222222,0.3333333333333333
¬sig_lead_in_lag,Zone-Retest,58015,6765,1283,949,0.00844609152805309,0.01359940872135994
¬sig_lead_in_lag,coil_floor,216,177,124,116,0.0787037037037037,0.03389830508474576
¬sig_lead_in_lag,engulf_absorb_rev,1,2,1,2,1.0,0.5
¬sig_lead_in_lag,ppr×NS,1505,200,589,142,0.021926910299003323,0.035
¬sig_lead_in_lag,🌀Engulf-AbsRev,1207,733,534,388,0.015741507870753936,0.023192360163710776
¬sig_lead_in_lag,🌉Z1G→T4,68,7,31,7,0.29411764705882354,0.14285714285714285
¬sig_lead_in_lag,🌉v2 Z1G→T3/T6,74,1,38,1,0.28378378378378377,1.0
¬sig_lead_in_lag,🎬StopVol-Confirm,821,392,455,238,0.018270401948842874,0.02806122448979592
¬sig_lead_in_lag,🎯Cluster,514,105,293,85,0.029182879377431907,0.02857142857142857
¬sig_lead_in_lag,🎯Confluence≥3,1498,141,622,100,0.03137516688918558,0.05673758865248227
¬sig_lead_in_lag,🎯Confluence≥4,153,16,117,15,0.09803921568627451,0.125
¬sig_lead_in_lag,🎯T1-RS-Dip,380,325,207,204,0.04473684210526316,0.03076923076923077
¬sig_lead_in_lag,🎯T3-RS-Dip,761,608,325,313,0.02890932982917214,0.04276315789473684
¬sig_lead_in_lag,🏆L34→L34,202,24,153,22,0.024752475247524754,0.08333333333333333
¬sig_lead_in_lag,👑Z1G-CROWN,373,23,142,12,0.4075067024128686,0.43478260869565216
¬sig_lead_in_lag,📐RSI-Div,522,362,234,210,0.04597701149425287,0.06906077348066299
¬sig_lead_in_lag,🔄DualReclaim,415,395,205,198,0.03614457831325301,0.035443037974683546
¬sig_lead_in_lag,🔄DualReclaim deep,68,63,53,50,0.07352941176470588,0.07936507936507936
¬sig_lead_in_lag,🥪T2G-Sandwich,136,32,105,30,0.04411764705882353,0.0625
¬sig_lead_in_lag,🧊Coil-Floor,2778,2440,636,720,0.016918646508279338,0.015163934426229509
¬sig_lead_in_lag,🧲Z9-HL,137,13,54,11,0.40145985401459855,0.23076923076923078
¬sig_lead_in_lag,🧺SEQ-20,237,34,156,29,0.04219409282700422,0.11764705882352941
¬sig_lead_in_lag,🪨T1G-NB,169,89,132,77,0.03550295857988166,0.033707865168539325
sig_h1_dr,Atomic,2909,19366,577,1195,0.026813337916809902,0.013735412578746256
sig_h1_dr,Atomic-R,36,114,25,71,0.25,0.03508771929824561
sig_h1_dr,D+L1,334,2686,199,778,0.05089820359281437,0.020476545048399106
sig_h1_dr,Engulf-Abs,52,558,35,251,0.17307692307692307,0.17921146953405018
sig_h1_dr,FailedBear-Turn,28,151,26,114,0.07142857142857142,0.052980132450331126
sig_h1_dr,G3+RL,113,701,68,235,0.07964601769911504,0.06990014265335236
