band,n_clears,n_promoted,n_final,gen,evaluated,ineligible,uncomputable,coverage,design_hash,shift
1.82987549105722,1,1,1,G2,6.0,0.0,0.0,0.7855926430517711,c5bcb3fd4bec,29.0
1.7498461373268892,1,1,1,G2,6.0,0.0,0.0,0.8950341956586381,ad8964c0413b,970.0
0.8678206991045875,2,1,1,G2,6.0,0.0,0.0,0.8652517275419546,0f2b3e6c00ce,355.0
3.1061502176124915,1,1,1,G2,6.0,0.0,0.0,0.850499001996008,becca9dee642,433.0
0.8401092793294432,1,0,0,G2,6.0,0.0,0.0,0.8223495702005731,cbf5bcb04917,614.0
1.4123798720527836,1,1,1,G2,6.0,0.0,0.0,0.8595988538681948,47fe1ae08748,380.0
1.1491119079879328,0,0,0,G2,6.0,0.0,0.0,0.8679606691354872,df836d9279a8,107.0
2.4441680383215054,1,1,1,G2,6.0,0.0,0.0,0.8713430282292558,b3426ef46295,429.0
0.5922348390943784,0,0,0,G2,6.0,0.0,0.0,0.8486503354657513,7c16c8f29cc2,63.0
1.3975051925139632,1,1,1,G2,6.0,0.0,0.0,0.8447740600206968,2d7ebc9b7323,171.0
2.913963492814542,0,0,0,G2,6.0,0.0,0.0,0.7819905213270142,693c17a66cd0,468.0
1.5450486216472623,0,0,0,G2,6.0,0.0,0.0,0.8378378378378378,e0816ba36e46,734.0
3.2737639950179025,1,1,1,G2,6.0,0.0,0.0,0.8604134631812745,fae39fa6c7d8,427.0
1.071885004895283,1,0,0,G2,6.0,0.0,0.0,0.8182543481729695,7bdb3ea5c57e,786.0
1.2934997423960994,0,0,0,G2,6.0,0.0,0.0,0.8521739130434782,b75a4f5dba89,753.0
1.1501656575366745,1,1,0,G2,6.0,0.0,0.0,0.8351145038167939,43819a4b1bbc,841.0
0.8996548583083617,1,0,0,G2,6.0,0.0,0.0,0.8016421780466725,f20b0d33962e,719.0
1.8405465177183291,2,2,1,G2,6.0,0.0,0.0,0.8378700576197099,ceec7cd5ca73,612.0
1.4286562259884132,2,2,1,G2,6.0,0.0,0.0,0.8071122400381013,af70a67952fa,385.0
1.04699769931581,1,1,0,G2,6.0,0.0,0.0,0.8856337145542849,786d0bb88c14,343.0
1.2477668704136775,0,0,0,G2,6.0,0.0,0.0,0.8387588044926708,ab3e66d349e7,1191.0
1.0984074346685224,1,1,0,G2,6.0,0.0,0.0,0.8872455470737913,34b48de3efb0,342.0
2.2274173271055537,1,1,1,G2,6.0,0.0,0.0,0.8349341871220206,fe954d2ba01a,1140.0
1.466000449711734,2,1,1,G2,6.0,0.0,0.0,0.8574187884108867,068a675148ca,990.0
1.1398404321498594,0,0,0,G2,6.0,0.0,0.0,0.8569942797711908,92f4f502dfe3,218.0
0.4884164173697703,1,1,0,G2,6.0,0.0,0.0,0.6911581569115816,40511b3f2c81,1174.0
0.9523705142235606,2,0,0,G2,6.0,0.0,0.0,0.8471337579617835,34150b8003e6,1289.0
2.5063341006470594,1,1,1,G2,6.0,0.0,0.0,0.7846364883401921,b23f96a9515b,1073.0
0.9920968531840029,1,0,0,G2,6.0,0.0,0.0,0.7674825174825175,9d3166932c1f,1253.0
1.5156455204567025,1,1,1,G2,6.0,0.0,0.0,0.8047326253027762,8e1e2ce62dc3,501.0
2.2728753946677935,1,1,1,G2,6.0,0.0,0.0,0.8349341871220206,fe954d2ba01a,1140.0
1.802577018845486,0,0,0,G2,6.0,0.0,0.0,0.803363074811256,43693e63af47,1299.0
0.7672324704718014,1,0,0,G2,6.0,0.0,0.0,0.8411633109619687,5b95816e77cb,318.0
1.0449325159179512,1,1,0,G2,6.0,0.0,0.0,0.873378728923476,8c57cabb42de,326.0
1.6195558022329644,0,0,0,G2,6.0,0.0,0.0,0.8351266921207914,a00e06a04382,739.0
1.4034255166772687,2,2,1,G2,6.0,0.0,0.0,0.8367177097203728,3717e9944543,396.0
0.7995426477729717,1,0,0,G2,6.0,0.0,0.0,0.8182444061962134,32380b154461,643.0
3.538565431584101,1,1,1,G2,6.0,0.0,0.0,0.8348920251657881,41ff21f21fe7,411.0
1.179921184328255,1,1,0,G2,6.0,0.0,0.0,0.8371716444764303,9bb7f5bf7d74,673.0
1.0747829894495633,1,1,0,G2,6.0,0.0,0.0,0.8485898070262247,2fa842ce692f,764.0
0.5314867601136927,0,0,0,G2,6.0,0.0,0.0,0.8200800915331807,597245637ad5,677.0
0.8478438165482208,1,1,0,G2,6.0,0.0,0.0,0.8496376811594203,f18cf7a1fa19,237.0
3.3558909860904884,0,0,0,G2,6.0,0.0,0.0,0.7924683440223648,29a9492a4302,531.0
0.8797077770450691,1,1,0,G2,6.0,0.0,0.0,0.8869376149857836,a01e72056f61,361.0
1.6750172980303986,0,0,0,G2,6.0,0.0,0.0,0.8579286798179059,793aa6b7a701,733.0
0.535465440769884,1,0,0,G2,6.0,0.0,0.0,0.7341356673960613,fdca05da68c6,1157.0
1.020296914249883,1,1,1,G2,6.0,0.0,0.0,0.8553295362082994,7c8b7e5cab88,904.0
0.6126556674908153,1,0,0,G2,6.0,0.0,0.0,0.8249738766980146,da82adbbfea3,314.0
1.2197203999591106,1,0,0,G2,6.0,0.0,0.0,0.8592224979321753,1b9d838514ef,714.0
