ticker,date,med_before,med_after,level_shift,bar_ratio
ROLR,2026-01-14,1.8250000000000002,4.535,2.484931506849315,5.3664772727272725
RPGL,2026-05-26,0.54,2.105,3.898148148148148,34.48275862068966
RPT,2024-12-03,71.13,17.52,0.2463095740194011,0.2338269680436477
RUBI,2026-06-26,0.635,2.54,4.0,27.708333333333336
RYDE,2024-09-12,7.29,0.705,0.09670781893004114,0.15865751334858888
RYET,2025-07-14,9.01,1.59,0.17647058823529413,0.09396636993076163
RZLT,2025-12-11,9.625,2.6950000000000003,0.28,0.12797074954296161
SBET,2025-05-27,3.205,23.6,7.363494539781591,5.331845238095238
SBFM,2026-06-01,0.995,2.11,2.120603015075377,9.56
SCYX,2026-06-01,0.95,4.19,4.4105263157894745,7.614285714285715
SDOT,2026-05-26,1.47,17.6,11.97278911564626,18.0625
SEV,2025-10-16,0.28500000000000003,6.525,22.89473684210526,38.095238095238095
SFHG,2024-12-11,57.525,4.8149999999999995,0.08370273794002607,0.14461830251303937
SHPH,2026-06-11,0.675,3.5,5.185185185185185,8.53061224489796
SI,2025-07-31,1.52,14.26,9.381578947368421,12.040000000000001
SILO,2026-06-03,0.42,5.955,14.178571428571429,17.514285714285716
SKBL,2025-07-07,11.585,0.695,0.05999136814846784,0.12419354838709677
SKK,2024-11-21,49.45,10.6,0.21435793731041455,0.2412280701754386
SLXN,2026-05-26,0.755,2.73,3.615894039735099,8.58
SMSI,2026-06-04,0.8,2.66,3.325,4.987654320987654
SNAL,2026-07-06,0.735,4.745,6.45578231292517,4.951612903225806
SNTI,2024-12-02,2.18,4.425,2.029816513761468,4.62962962962963
SOBR,2022-05-16,8203.8,1086.855,0.1324818986323411,0.2244668911335578
SOLS,2023-07-19,0.015,42.985,2865.6666666666665,0.0
SPCX,2026-06-12,21.9,137.61,6.283561643835617,7.322565969062784
SPHL,2025-03-12,20.72,4.155,0.20053088803088806,0.20666666666666667
SPPL,2024-03-12,43.8,5.970000000000001,0.13630136986301372,0.21869488536155202
SPRB,2024-03-14,352.5,55.845,0.1584255319148936,0.15619781631342325
SPRB,2025-10-06,8.850000000000001,116.805,13.198305084745762,14.784580498866214
SRRK,2024-10-07,8.71,28.975,3.3266360505166475,4.619946091644205
SRXH,2026-07-06,0.12,1.8,15.000000000000002,20.222222222222225
STFS,2025-01-22,263.20000000000005,37.1,0.1409574468085106,0.19541080680977055
STFS,2025-08-20,70.6,6.65,0.09419263456090653,0.21014492753623187
STRR,2025-09-05,2.01,11.105,5.524875621890548,4.431924882629108
SUNE,2025-04-07,89.02000000000001,2.145,0.02409570882947652,0.23148148148148145
SVC,2026-07-07,1.685,8.53,5.062314540059346,5.005747126436782
SWAG,2022-12-16,10.055,1.4849999999999999,0.14768771755345597,0.14182939362795477
SXTC,2026-01-09,212.25,2.7,0.012720848056537103,0.12079999999999999
TBH,2026-06-01,0.65,4.095,6.3,8.789473684210527
TDIC,2025-10-10,19.825000000000003,2.3899999999999997,0.12055485498108445,0.1901639344262295
TDIC,2026-05-14,0.78,2.315,2.9679487179487176,0.03470715835140998
TDIC,2026-06-15,0.69,3.59,5.202898550724638,23.60869565217391
THH,2026-01-15,16.615000000000002,0.62,0.037315678603671375,0.2375
THH,2026-01-16,16.615000000000002,0.62,0.037315678603671375,0.12631578947368421
TJGC,2026-04-28,1.88,4.995,2.6569148936170213,4.071428571428572
TPST,2023-10-11,3.2,24.18,7.5562499999999995,40.71153846153846
TRNR,2026-06-30,0.8,3.17,3.9625,8.120689655172415
TVRD,2025-10-13,33.855000000000004,4.19,0.12376310736966474,0.1608173076923077
TWG,2024-10-25,157.05,25.525,0.16252785737026423,0.03996707818930041
UBXG,2024-08-23,3386.0,277.17999999999995,0.08186060248080329,0.07366771159874608
UCAR,2026-04-08,9.61,1.495,0.1555671175858481,4.327272727272727
UGRO,2026-03-25,2.64,8.93,3.3825757575757573,5.16951566951567
UPLD,2026-06-17,0.74,4.7,6.351351351351352,8.475409836065573
UPXI,2025-04-21,2.505,10.98,4.383233532934132,4.318777292576419
VEEE,2026-07-13,5.91,14.5,2.4534686971235193,5.157676348547717
VHUB,2026-01-30,0.41,2.09,5.097560975609756,12.84
VIVO,2026-03-16,33.305,2.7,0.08106890857228645,0.05563732705328231
VNTG,2025-10-09,5.955,0.95,0.1595298068849706,0.18749999999999997
